,open_close_diff,pos_neg,close_low_diff,sentiment_1,sentiment_2,s1_no_0,s2_no_0,s1_scaled,s2_scaled
2018-05-02,-1.3500060000000076,-1.0,-2.140013999999951,0.01637125000000001,0.0787394593253968,0.024946666666666683,0.11665105085243972,0.08027225833414042,0.023013542386843375
2018-05-03,-22.359984999999995,-1.0,-25.919983000000002,0.06420354330708661,0.07070858350498399,0.11018716216216214,0.13922465279275914,0.23615724441224145,0.08027225833414042
2018-05-04,-1.4500120000000152,-1.0,-4.930023000000006,0.003286915887850471,0.04612435624906422,0.0041869047619047675,0.08248422482423183,0.03763053869467108,0.23615724441224145
2018-05-07,3.410004000000015,1.0,1.080016999999998,0.026851271483902206,0.01807953601224752,0.04192719478539449,0.035878129670654575,0.1144265480443989,0.03763053869467108
2018-05-08,-1.9700010000000248,-1.0,-3.7699890000000096,0.09388468899521528,0.06234204657649636,0.14643208955223874,0.11136314302980972,0.33288781412737856,0.1144265480443989
2018-05-09,-1.559996999999953,-1.0,-1.920012999999983,0.1128872483221476,0.053456956567455145,0.1462626086956521,0.09713520156769287,0.3948169730976482,0.33288781412737856
2018-05-10,0.6499939999999924,1.0,-2.740021000000013,-0.07958973384030417,0.030944826227145606,-0.10845647668393778,0.10047517651529993,-0.23246366954516234,0.3948169730976482
2018-05-11,2.6800230000000056,1.0,-5.940001999999993,-0.009728901734104062,0.03533406347299825,-0.013252755905511832,0.06434518927188103,-0.0047878863590338425,-0.23246366954516234
2018-05-14,2.260008999999968,1.0,-9.44000299999999,0.08787358131888866,0.07803169797639922,0.11135402838491582,0.10974511574196233,0.31329767174339807,-0.0047878863590338425
2018-05-15,-6.959990999999945,-1.0,-11.470000999999968,0.11514640883977895,0.08122195016462982,0.19208755760368654,0.1781960361187636,0.4021795556018616,0.31329767174339807
2018-05-16,-0.3500060000000076,-1.0,-2.619995000000017,-0.023681840193704604,0.04802464050163801,-0.035055913978494634,0.10779443764769836,-0.05026037925331005,0.4021795556018616
2018-05-17,-0.580016999999998,-1.0,-2.5100100000000225,0.10578585858585858,0.07256326726023696,0.15867878787878786,0.13814929728391265,0.3716736119154953,-0.05026037925331005
2018-05-18,0.10998499999999467,1.0,-10.540008999999998,0.03965402684563765,0.0766602732052756,0.05205682819383268,0.1620195845047669,0.15615060523129906,0.3716736119154953
2018-05-21,4.509980000000041,1.0,4.479981000000009,0.04539314229722374,0.07268887066021193,0.06300398430128264,0.1427871483633162,0.17485432755812644,0.15615060523129906
2018-05-22,3.270020000000045,1.0,-11.069976999999994,0.015108018867924528,0.06924850187716601,0.02965648148148148,0.13049495464852615,0.07615540016527157,0.17485432755812644
2018-05-23,2.75,1.0,-1.0100100000000225,-0.008255048859934874,0.0016409999247947193,-0.01136457399103142,0.00329272533929398,1.5386051427691144e-05,0.07615540016527157
2018-05-24,-0.6700129999999831,-1.0,-4.17999199999997,-0.01330155642023346,0.05131738451777365,-0.019760115606936413,0.0955693320367234,-0.016431133786742533,1.5386051427691144e-05
2018-05-25,-0.22000100000002476,-1.0,-2.240021000000013,0.0256954802259887,0.0336466173724043,0.03887264957264957,0.0654445195045666,0.1106598353971016,-0.016431133786742533
2018-05-29,-0.3399959999999851,-1.0,-2.700012000000015,0.11146082170121778,0.12055993611540781,0.1418855737542399,0.1968200748262038,0.39016826239257035,0.1106598353971016
2018-05-30,-0.47000100000002476,-1.0,-2.160004000000015,0.02827368421052632,0.07747270638718007,0.040290000000000006,0.12988071364909606,0.11906217750635205,0.39016826239257035
2018-05-31,-4.510009999999966,-1.0,-8.790007999999943,0.06888740458015268,0.04257219672316455,0.09255641025641026,0.10424220132214122,0.2514219034712601,0.11906217750635205
2018-06-01,1.1299740000000043,1.0,-0.8900150000000053,0.11510917030567674,0.04388310349281967,0.16372670807453404,0.10150738080662328,0.4020581955756379,0.2514219034712601
2018-06-04,2.5199890000000096,1.0,1.7299810000000093,0.09450165573033607,0.050769247198814094,0.11871211194844028,0.11517173268537195,0.33489850281206063,0.4020581955756379
2018-06-05,0.9600220000000377,1.0,-10.0,-0.0036149532710280327,0.03260889862992671,-0.005157333333333325,0.0549472780063332,0.015137413164659103,0.33489850281206063
2018-06-06,9.369995000000017,1.0,6.350006000000008,0.04452780748663103,0.01069491189143595,0.07930190476190478,0.028168289066176383,0.17203420969264754,0.015137413164659103
2018-06-07,-3.3500060000000076,-1.0,-5.920012999999983,0.1519913793103448,0.08107720752325127,0.2327524752475247,0.1694586679765252,0.5222569617169737,0.17203420969264754
2018-06-08,2.910004000000015,1.0,1.0599980000000073,-0.030711585365853694,0.07387627315942866,-0.040948780487804926,0.15532959997623466,-0.07317025148665132,0.5222569617169737
2018-06-11,4.850006000000008,1.0,4.839995999999985,0.07108151564212005,0.020629644184247144,0.11023390483707336,0.04263421051615601,0.2585724904220622,-0.07317025148665132
2018-06-12,12.600006000000008,1.0,5.899993999999992,0.0937484848484848,0.13152602048624784,0.19038153846153835,0.21566999632527595,0.3324439261168132,0.2585724904220622
2018-06-13,3.9400019999999927,1.0,-2.9700010000000248,0.06110103305785136,0.04347650538740416,0.0821469444444446,0.11374393841893846,0.22604619320455135,0.3324439261168132
2018-06-14,2.8500059999999507,1.0,1.8200069999999755,0.06736653696498053,0.05367855739159246,0.08744040404040401,0.1169100783867734,0.2464654104698548,0.22604619320455135
2018-06-15,-3.880004999999983,-1.0,-6.470000999999968,0.07642262773722629,0.044010115492779736,0.0964967741935484,0.10485888386975346,0.27597912361946864,0.2464654104698548
2018-06-18,-2.7700189999999907,-1.0,-3.670012999999983,0.05081074496056093,0.05019124463433202,0.07439748589551291,0.11713661924150816,0.19251024278529535,0.27597912361946864
2018-06-19,-5.669983000000002,-1.0,-24.579987000000017,-0.028540221402214013,0.05462088265363175,-0.038671999999999984,0.1080456875849212,-0.06609379711158345,0.19251024278529535
2018-06-20,5.490021000000013,1.0,-0.5499879999999848,-0.1351710247349825,0.045904876434911784,-0.1893732673267329,0.09993138485446182,-0.4136025645944649,-0.06609379711158345
2018-06-21,-0.22000099999996792,-1.0,-15.950011999999958,-0.009633073929961109,0.040946455943537685,-0.014824550898203628,0.08917999302956936,-0.004475584462513532,-0.4136025645944649
2018-06-22,4.029998999999975,1.0,-15.510010000000023,-0.03501593406593407,0.01952964198499913,-0.04864809160305344,0.03863472653554177,-0.08719808270267858,-0.004475584462513532
2018-06-25,-3.5100099999999657,-1.0,-6.130004999999983,0.07114530969891432,0.04033304893908438,0.09299819878015635,0.07998495234476947,0.2587803946425728,-0.08719808270267858
2018-06-26,3.0399779999999623,1.0,-7.210022000000038,0.08406777777777777,0.06271191077441078,0.1129268656716418,0.09901880648591174,0.3008945944288057,0.2587803946425728
2018-06-27,3.0,1.0,-2.5,-0.05409999999999997,0.015328548122362553,-0.0667080508474576,0.025489185734900017,-0.14939287092548528,0.3008945944288057
2018-06-28,4.160004000000015,1.0,1.6099849999999947,0.02636840148698885,0.012098647119093184,0.034941379310344835,0.01828391053391049,0.11285287934607582,-0.14939287092548528
2018-06-29,3.3999939999999924,1.0,-7.51998900000001,0.05789347079037796,0.10665259492321348,0.07019583333333328,0.18149652118511767,0.21559277847489106,0.11285287934607582
2018-07-02,17.11999499999996,1.0,-13.100006000000008,0.10774645021073126,0.06415455325876752,0.1496436839079012,0.1290418260419736,0.37806316125585354,0.21559277847489106
2018-07-03,-3.3200069999999755,-1.0,-25.380004999999983,0.10295745007680487,0.05130376609285432,0.16590420792079202,0.09969776634760644,0.36245585565559,0.37806316125585354
2018-07-05,2.900025000000028,1.0,-14.639984000000027,0.009336000000000007,0.05248538514395655,0.012777372262773734,0.09197205340646593,0.05734444591952052,0.36245585565559
2018-07-06,-4.209992,-1.0,-7.160004000000015,-0.012049528301886806,0.03625300823826768,-0.015481818181818197,0.07724259041721357,-0.012350786132390287,0.05734444591952052
2018-07-09,3.089995999999985,1.0,-0.8999939999999924,0.09291344120182021,0.15026253658469974,0.12011180622709987,0.23063588611871544,0.3297225268646551,-0.012350786132390287
2018-07-10,6.049987999999985,1.0,0.6900019999999927,0.09065372340425533,0.06910206800052925,0.12814210526315792,0.12141297929064952,0.32235812819047205,0.3297225268646551
2018-07-11,-6.670012999999983,-1.0,-7.399993999999992,0.10074723127035833,0.04402807098886671,0.19330875000000006,0.11079194912772196,0.3552527737196998,0.32235812819047205
2018-07-12,2.4700020000000222,1.0,-6.190001999999993,0.08220882352941175,0.04939348866651037,0.1310203125,0.08539213294888234,0.29483628032569675,0.3552527737196998
2018-07-13,-1.1300039999999854,-1.0,-7.459991000000002,0.07057204968944082,0.00846597828130664,0.10520462962962937,0.014577780783854213,0.2569121457584519,0.29483628032569675
2018-07-16,-7.160004000000015,-1.0,-12.619995000000017,0.017448117048346062,0.02314976826493068,0.024491102210179246,0.03476806083666049,0.08378175773785225,0.2569121457584519
2018-07-17,-1.2900080000000003,-1.0,-1.6000060000000076,0.119001652892562,0.08406915612700741,0.15651304347826092,0.14531954130525565,0.4147437590707915,0.08378175773785225
2018-07-18,2.3099980000000073,1.0,-6.440001999999993,0.15856519823788548,0.06544385552039736,0.19996833333333336,0.12697226669342052,0.5436809746828712,0.4147437590707915
2018-07-19,-7.520018999999991,-1.0,-9.839995999999985,0.1078641414141414,0.07234986316993892,0.1386824675324675,0.13643117054902767,0.3784467157613279,0.5436809746828712
